#PATH-POINTS-START Path
-64.802,-119.496,94.48,90
-66.802,-119.496,94.178
-68.802,-119.496,93.877
-70.802,-119.496,93.576
-72.802,-119.496,93.275
-74.802,-119.496,92.974
-76.802,-119.496,92.673
-78.802,-119.496,92.372
-80.802,-119.496,92.07
-82.802,-119.496,91.769
-84.802,-119.496,91.468
-86.802,-119.496,91.167
-88.802,-119.496,90.866
-90.802,-119.496,90.565
-92.802,-119.496,90.264
-94.802,-119.496,89.963
-96.802,-119.496,89.661
-98.802,-119.496,89.36
-100.802,-119.496,89.059
-102.802,-119.496,88.758
-104.802,-119.496,88.457
-106.802,-119.496,88.156
-108.802,-119.496,87.855
-110.802,-119.496,87.553
-112.802,-119.496,87.252
-114.802,-119.496,86.951
-116.802,-119.496,86.65
-118.802,-119.496,86.349
-120.802,-119.496,86.048
-122.802,-119.496,85.747
-124.802,-119.496,85.445
-126.802,-119.496,85.144
-128.802,-119.496,84.843
-130.802,-119.496,84.542
-132.802,-119.496,84.241
-134.802,-119.496,83.94
-136.802,-119.496,83.639
-138.802,-119.496,83.337
-140.802,-119.496,83.036
-142.802,-119.496,82.735
-144.802,-119.496,82.434
-146.802,-119.496,82.133
-148.802,-119.496,81.832
-150.802,-119.496,81.531
-152.802,-119.496,81.229
-154.802,-119.496,80.928
-156.802,-119.496,80.627
-158.802,-119.496,80.326
-160.122,-119.3,80.025,90
-158.429,-118.235,79.724
-156.736,-117.17,79.649
-155.043,-116.106,79.573
-153.35,-115.041,79.498
-151.657,-113.976,79.423
-149.964,-112.911,79.347
-148.271,-111.847,79.272
-146.578,-110.782,79.197
-144.885,-109.717,79.122
-143.192,-108.653,79.046
-141.499,-107.588,78.971
-139.806,-106.523,78.896
-138.112,-105.459,78.82
-136.419,-104.394,78.745
-134.726,-103.329,78.67
-133.033,-102.264,78.595
-131.34,-101.2,78.519
-129.647,-100.135,78.444
-127.954,-99.07,78.369
-126.261,-98.006,78.293
-124.568,-96.941,78.218
-122.875,-95.876,78.143
-121.182,-94.812,78.068
-119.489,-93.747,77.992
-117.796,-92.682,77.917
-116.103,-91.617,77.842
-114.41,-90.553,77.766
-112.717,-89.488,77.691
-111.024,-88.423,77.616
-109.331,-87.359,77.541
-107.638,-86.294,77.465
-105.945,-85.229,77.39
-104.252,-84.165,77.315
-102.558,-83.1,77.239
-100.865,-82.035,77.164
-99.172,-80.97,77.089
-97.479,-79.906,77.014
-95.786,-78.841,76.938
-94.093,-77.776,76.863
-92.4,-76.712,76.788
-90.707,-75.647,76.712
-89.014,-74.582,76.637
-87.321,-73.518,76.562
-85.628,-72.453,76.487
-83.935,-71.388,76.411
-82.242,-70.323,76.336
-80.549,-69.259,76.261
-78.856,-68.194,76.185
-77.163,-67.129,76.11
-75.47,-66.065,76.035
-73.777,-65,75.96
-72.084,-63.935,75.884
-70.391,-62.871,75.809
-68.698,-61.806,75.734
-67.004,-60.741,75.658
-65.311,-59.676,75.583
-63.944,-58.601,75.508,270
-65.562,-57.424,75.433
-67.179,-56.248,75.357
-68.797,-55.072,75.282
-70.414,-53.895,75.207
-72.031,-52.719,75.131
-73.649,-51.543,75.056
-75.266,-50.366,74.981
-76.884,-49.19,74.906
-78.501,-48.014,74.83
-80.119,-46.837,74.755
-81.736,-45.661,74.68
-83.354,-44.485,74.604
-84.971,-43.308,74.529
-86.589,-42.132,74.454
-88.206,-40.956,74.379
-89.824,-39.779,74.303
-91.441,-38.603,74.228
-93.059,-37.427,74.153
-94.676,-36.25,74.077
-96.294,-35.074,74.002
-97.911,-33.898,73.927
-99.529,-32.721,73.852
-101.146,-31.545,73.776
-102.764,-30.369,73.701
-104.381,-29.192,73.626
-105.999,-28.016,73.55
-107.616,-26.84,73.475
-109.234,-25.663,73.4
-110.851,-24.487,73.325
-112.468,-23.311,73.249
-114.086,-22.134,73.174
-115.703,-20.958,73.099
-117.321,-19.782,73.023
-118.938,-18.605,72.948
-120.556,-17.429,72.873
-122.173,-16.253,72.798
-123.791,-15.076,72.722
-125.408,-13.9,72.647
-127.026,-12.724,72.572
-128.643,-11.547,72.496
-130.261,-10.371,72.421
-131.878,-9.195,72.346
-133.496,-8.018,72.346
-134.737,-7.116,72.346,90
-134.737,-7.116,0,90
